match_id,competition,season,home_team,away_team,match_date,competition_id,season_id,competition_label
3837987,France - Ligue 1,2022/2023,Paris Saint-Germain,AC Ajaccio,2023-05-13,7,235,Ligue1_2223
3837818,France - Ligue 1,2022/2023,Paris Saint-Germain,Angers,2023-01-11,7,235,Ligue1_2223
3895348,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,Augsburg,2024-05-18,9,281,Bundesliga_2324
3802793,France - Ligue 1,2021/2022,Paris Saint-Germain,OGC Nice,2021-12-01,7,108,Ligue1_2122
3895266,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,Wolfsburg,2024-03-10,9,281,Bundesliga_2324
3803000,France - Ligue 1,2021/2022,Clermont Foot,Paris Saint-Germain,2022-04-09,7,108,Ligue1_2122
3895320,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,VfB Stuttgart,2024-04-27,9,281,Bundesliga_2324
3802948,France - Ligue 1,2021/2022,Paris Saint-Germain,Metz,2022-05-21,7,108,Ligue1_2122
3895292,Germany - 1. Bundesliga,2023/2024,Union Berlin,Bayer Leverkusen,2024-04-06,9,281,Bundesliga_2324
3895210,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,Borussia Mönchengladbach,2024-01-27,9,281,Bundesliga_2324
3895202,Germany - 1. Bundesliga,2023/2024,RB Leipzig,Bayer Leverkusen,2024-01-20,9,281,Bundesliga_2324
3773571,Spain - La Liga,2020/2021,Real Valladolid,Barcelona,2020-12-22,11,90,LaLiga_2021
3837918,France - Ligue 1,2022/2023,Paris Saint-Germain,Rennes,2023-03-19,7,235,Ligue1_2223
3895275,Germany - 1. Bundesliga,2023/2024,Freiburg,Bayer Leverkusen,2024-03-17,9,281,Bundesliga_2324
3773457,Spain - La Liga,2020/2021,Barcelona,Celta Vigo,2021-05-16,11,90,LaLiga_2021
3837695,France - Ligue 1,2022/2023,Nantes,Paris Saint-Germain,2022-09-03,7,235,Ligue1_2223
3837717,France - Ligue 1,2022/2023,Lyon,Paris Saint-Germain,2022-09-18,7,235,Ligue1_2223
3895158,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,Borussia Dortmund,2023-12-03,9,281,Bundesliga_2324
3802690,France - Ligue 1,2021/2022,Lorient,Paris Saint-Germain,2021-12-22,7,108,Ligue1_2122
3773695,Spain - La Liga,2020/2021,Valencia,Barcelona,2021-05-02,11,90,LaLiga_2021
3802805,France - Ligue 1,2021/2022,OGC Nice,Paris Saint-Germain,2022-03-05,7,108,Ligue1_2122
3773625,Spain - La Liga,2020/2021,Sevilla,Barcelona,2021-02-27,11,90,LaLiga_2021
3837752,France - Ligue 1,2022/2023,AC Ajaccio,Paris Saint-Germain,2022-10-21,7,235,Ligue1_2223
3802676,France - Ligue 1,2021/2022,Paris Saint-Germain,Lens,2022-04-23,7,108,Ligue1_2122
3895167,Germany - 1. Bundesliga,2023/2024,VfB Stuttgart,Bayer Leverkusen,2023-12-10,9,281,Bundesliga_2324
3773689,Spain - La Liga,2020/2021,Villarreal,Barcelona,2021-04-25,11,90,LaLiga_2021
3895095,Germany - 1. Bundesliga,2023/2024,FSV Mainz 05,Bayer Leverkusen,2023-09-30,9,281,Bundesliga_2324
3802983,France - Ligue 1,2021/2022,Paris Saint-Germain,Olympique de Marseille,2022-04-17,7,108,Ligue1_2122
3802665,France - Ligue 1,2021/2022,Montpellier,Paris Saint-Germain,2022-05-14,7,108,Ligue1_2122
3802902,France - Ligue 1,2021/2022,Olympique de Marseille,Paris Saint-Germain,2021-10-24,7,108,Ligue1_2122
3773661,Spain - La Liga,2020/2021,Barcelona,Getafe,2021-04-22,11,90,LaLiga_2021
3837947,France - Ligue 1,2022/2023,Paris Saint-Germain,Lens,2023-04-15,7,235,Ligue1_2223
3895194,Germany - 1. Bundesliga,2023/2024,Augsburg,Bayer Leverkusen,2024-01-13,9,281,Bundesliga_2324
3773387,Spain - La Liga,2020/2021,Levante UD,Barcelona,2021-05-11,11,90,LaLiga_2021
3773665,Spain - La Liga,2020/2021,Osasuna,Barcelona,2021-03-06,11,90,LaLiga_2021
3895232,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,Bayern Munich,2024-02-10,9,281,Bundesliga_2324
3895309,Germany - 1. Bundesliga,2023/2024,Borussia Dortmund,Bayer Leverkusen,2024-04-21,9,281,Bundesliga_2324
3837683,France - Ligue 1,2022/2023,Toulouse,Paris Saint-Germain,2022-08-31,7,235,Ligue1_2223
3802752,France - Ligue 1,2021/2022,Paris Saint-Germain,Lyon,2021-09-19,7,108,Ligue1_2122
3895121,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,Freiburg,2023-10-29,9,281,Bundesliga_2324
3895340,Germany - 1. Bundesliga,2023/2024,Bochum,Bayer Leverkusen,2024-05-12,9,281,Bundesliga_2324
3773428,Spain - La Liga,2020/2021,Cádiz,Barcelona,2020-12-05,11,90,LaLiga_2021
3837896,France - Ligue 1,2022/2023,Paris Saint-Germain,Nantes,2023-03-04,7,235,Ligue1_2223
3895220,Germany - 1. Bundesliga,2023/2024,Darmstadt 98,Bayer Leverkusen,2024-02-03,9,281,Bundesliga_2324
3837747,France - Ligue 1,2022/2023,Paris Saint-Germain,Olympique de Marseille,2022-10-16,7,235,Ligue1_2223
3895086,Germany - 1. Bundesliga,2023/2024,Bayer Leverkusen,FC Heidenheim,2023-09-24,9,281,Bundesliga_2324
3895113,Germany - 1. Bundesliga,2023/2024,Wolfsburg,Bayer Leverkusen,2023-10-21,9,281,Bundesliga_2324
